Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Aggregated
34.477072479,4.797151040,11.160269887,10.425602714,18.240483348,79.100579468
35.789856710,6.754947414,10.946610552,11.140476728,30.836479023,95.468370427
33.060615819,5.109068252,11.753968758,10.852165864,31.726932870,92.502751563
32.470993087,7.238214379,10.788403680,4.698609723,22.948777938,78.144998807
31.217611988,7.248182376,11.843012276,10.111966174,72.836891451,133.257664265
32.072717618,6.322727105,11.843511441,10.824866422,31.679616482,92.743439068
32.448341422,7.243441131,10.730507171,5.103662423,21.439058166,76.965010313
32.358878487,6.016979577,11.017595703,10.740823847,76.663265912,136.797543526
33.591828827,6.012381316,11.439975897,10.623904144,16.136640474,77.804730658
31.348825537,6.448286202,10.260975366,5.724369931,26.533366148,80.315823184
32.109461756,5.921137985,11.052845089,11.131995213,30.792266530,91.007706573
32.448362330,6.634240492,11.160513021,5.727859273,21.842080823,77.813055939
32.455973942,6.938699561,11.399704759,11.247915184,17.403089979,79.445383425
31.488328843,8.369959409,10.361733400,5.324578988,19.546429480,75.091030120
32.479828632,6.955178691,10.906153548,10.859261106,16.090112981,77.290534958
31.387496697,6.020328825,11.265653245,5.721515284,81.325853048,135.720847099
32.371315064,6.134119159,10.785455162,11.590732075,75.129287023,136.010908483
32.502828958,6.833829601,10.615189161,5.109875090,24.729100060,79.790822870
31.094724589,6.631531323,10.343249259,5.215547259,24.038771684,77.323824114
33.242198695,4.290526111,11.173497807,11.242650510,31.959544926,91.908418049
30.263889109,8.060619282,11.341673428,10.316603742,74.821972790,134.804758351
33.090982116,6.528536777,11.216084611,10.327188864,17.161515804,78.324308172
32.504431669,6.632689230,10.520667955,5.619933505,23.900227827,79.177950186
33.498074788,6.532602329,10.687347195,4.803582095,21.303476094,76.825082501
33.612017624,6.239967297,12.014804841,10.938274932,12.912842309,75.717907003
31.460655914,7.759093049,11.071731991,10.833086088,14.247443455,75.372010497
33.592554320,5.414493769,12.152531881,10.950461835,16.298950889,78.408992694
32.366037149,6.632472436,11.453671738,11.036975273,16.943981374,78.433137970
36.135864173,5.414496653,12.126948084,10.323201947,32.520707264,96.521218121
35.591123870,5.511908877,10.938519978,5.005274455,11.622389428,68.669216608
31.498473462,7.342329939,11.600104186,10.622940637,18.089164078,79.153012302
30.060922889,7.854950464,11.495507465,5.209919289,23.680082280,78.301382387
32.442448356,7.139545768,11.297041078,10.937740751,17.714298756,79.531074709
32.507230435,6.531054448,11.258996889,10.628871377,17.194789164,78.120942313
32.503235156,6.536115810,10.538947224,5.319573355,23.194528072,78.092399617
30.915307093,6.840825085,11.464950058,11.463654957,28.667847322,89.352584515
34.191168554,4.903290091,11.489102948,10.532855715,30.324893976,91.441311284
33.150379633,4.591661613,11.452402188,10.723603336,33.354163696,93.272210466
32.355994371,5.213194737,11.647154883,10.936873179,74.828132147,134.981349317
35.561608711,4.799565058,10.959744259,5.104924425,11.449435266,67.875277719
31.529880080,6.636722874,11.752007643,10.331004025,75.154695847,135.404310469
32.231976228,5.716640448,11.554879573,10.633357392,75.600932845,135.737786486
32.067047891,5.921528605,11.036781253,11.034457164,29.424896789,89.484711702
33.582086428,6.426477288,11.805727622,10.546829445,15.359340415,77.720461198
33.577062122,5.707226317,11.336440211,10.622258602,17.639217623,78.882204875
33.492724977,6.220344456,10.719762918,5.215651477,21.194500582,76.842984410
33.241351489,4.289523164,10.446010653,5.413193957,24.630807572,78.020886835
34.064100909,3.981650092,10.865362235,11.552273623,31.807076763,92.270463622
32.416827342,7.350387085,11.098385989,11.447466149,17.040227686,79.353294251
32.074341409,5.612181825,10.756913266,5.211756888,21.040073146,74.695266534
